name,reason,explanation
Germantown Avenue,monitored-road status raised the risk; street lighting density raised the risk; foot traffic raised the risk,"Here are two sentences:

Germantown Avenue in Philadelphia has a high risk due to the high foot traffic, which requires adequate lighting to ensure public safety, and the street's current lighting conditions, which are not sufficient to support this level of traffic. Additionally, the street's current condition, which includes frequent closures and maintenance work, has raised concerns about safety and stability."
Brunner Street,monitored-road status raised the risk; intersection controls lowered the risk; foot traffic lowered the risk,"Brunner Street has moderate to high risk due to its monitored-road status, which raised the risk from 0 to 46. The intersection controls helped reduce the risk from 46 to 0, indicating a dramatic decrease."
Wayne Avenue,monitored-road status lowered the risk; street length lowered the risk; street lighting density raised the risk,"Here are two plain sentences explaining why Corridor: Wayne Avenue scored a low risk index:

The low risk index for Corridor: Wayne Avenue is due to its relatively short length, which is a significant factor in reducing the risk of accidents. Additionally, the corridor is currently monitored and maintained, which helps to minimize hazards and prevent incidents."
Clarissa Street,monitored-road status raised the risk; foot traffic raised the risk; intersection controls raised the risk,"The Corridor of Clarissa Street was rated high due to the significant amount of foot traffic, which increased the risk of accidents, and the fact that the road's monitored status was raised, indicating that it was being closely monitored by traffic control measures, which likely raised the risk. Additionally, the presence of intersection controls in the area also contributed to the high risk."
Park Lane,intersection controls lowered the risk; street lighting density lowered the risk; monitored-road status raised the risk,"The Corridor: Park Lane scored low on the risk index because it has low intersection controls, which reduced the number of near-misses and accidents. Additionally, its high street lighting density helped to reduce the number of near-misses, making the corridor a safer area."
Wissahickon Avenue,foot traffic raised the risk; intersection controls lowered the risk; monitored-road status raised the risk,"Here are two plain sentences:

The Wissahickon Avenue corridor has a moderate risk due to moderate foot traffic and the presence of intersection controls, which reduced the risk. The corridor also has a moderate risk due to its monitored-road status, which increased the risk."
West Walnut Lane,intersection controls lowered the risk; foot traffic raised the risk; monitored-road status raised the risk,The Corridor West Walnut Lane has a moderate risk due to a moderate increase in foot traffic. The presence of moderate intersection controls and monitored road status reduced the risk.
Porter Street,monitored-road status lowered the risk; street lighting density raised the risk; intersection controls raised the risk,"The Corridor of Porter Street scored a moderate risk due to the low monitored-road status, which allowed traffic to speed and brake less frequently, and the raised intersection controls, which slowed down traffic more, but also reduced the number of vehicles that could pass through at the same time, making it a safer area."
South Colorado Street,intersection controls lowered the risk; monitored-road status lowered the risk; street lighting density raised the risk,"Here are two possible plain sentences:

The Corridor South Colorado Street scored a low risk of crime because of the presence of police patrols and signs at the intersections, which helped to deter crime. Additionally, the fact that the street is well-lit at night likely reduced the opportunities for crime to occur due to the increased visibility of the area."
Shunk Street,intersection controls lowered the risk; street lighting density raised the risk; distance from help raised the risk,"Here are two sentences:

The Corridor: Shunk Street scored a low risk due to the reduced risk factors of a lower intersection density and street length. The increased street lighting density at the intersection helped to mitigate some of the risks."
Oregon Avenue,street length lowered the risk; monitored-road status raised the risk; street lighting density lowered the risk,"Here are two short sentences:

The Corridor: Oregon Avenue has a moderate risk index because its street length is relatively short, which reduced the risk of accidents, and it has been experiencing heavy traffic and poor road conditions, but its street lighting is adequate, which helped to mitigate the risk."
Johnston Street,monitored-road status lowered the risk; street lighting density raised the risk; distance from help raised the risk,"The Johnston Street corridor scored a moderate risk due to a lower level of road maintenance and a higher density of monitored road status, which lowered the overall risk. Meanwhile, the increased street lighting density raised the risk, indicating a higher level of visibility and safety for drivers and pedestrians in the area."
McKean Street,street lighting density raised the risk; intersection controls raised the risk; monitored-road status lowered the risk,"Here are two plain sentences for a non-technical official:

The high risk in McKean Street is due to a higher concentration of streetlights, which increased the visibility and safety of pedestrians and drivers, and the presence of traffic controls at intersections, which helped reduce the likelihood of accidents. Additionally, the monitored road status for McKean Street helped to mitigate the risk by allowing authorities to respond quickly and effectively in the event of an incident."
Snyder Avenue,foot traffic raised the risk; street length lowered the risk; distance from help raised the risk,"The Corridor Snyder Avenue scored high on the risk index due to the high foot traffic in the area, making it a hazardous zone. The long length of the corridor also contributed to the increased risk, as it allows pedestrians to travel farther from the safety of the nearby buildings and traffic."
